civilcar01_silver		1994 Chevrolet Caprice
civilcar03_black		2007 Dodge Charger Red
civilcar03_silver		2007 Dodge Charger Navy Blue
civilcar03_white		2007 Dodge Charger White
civilcar04_blue			2002 Honda Accord Blue
civilcar04_blue_driver	2002 Honda Accord Blue
civilcar04_red			2002 Honda Accord Silver
civilcar04_yellow		2002 Honda Accord Yellow
civilcar09_organge		2009 Audi A8 S-Line Silver
civilcar09_purple		2009 Audi A8 S-Line Black
civilcar09_red			2009 Audi A8 S-Line Red
civilcar10_lightblue	2002 Ford Crown Victoria Green
civilcar10_lightgreen	2002 Ford Crown Victoria Burgundy
civilcar10_red			2002 Ford Crown Victoria Silver
civilcar11_bej			2006 Ford Freestar White
civilcar11_blue			2006 Ford Freestar Grey
civilcar11_red			2006 Ford Freestar Red
civilcar14_green		2007 Chevrolet Tahoe Blue
civilcar14_white		2007 Chevrolet Tahoe White
civilcar14_black		2007 Chevrolet Tahoe Black (new)
civilcar15_red			1989 Ford Crown Victoria LTD White
civilcar15_red2			1989 Ford Crown Victoria LTD Grey
civilcar15_grey			1989 Ford Crown Victoria LTD Burgundy
civilcar18_blue			2008 Mitsubishi Lancer Evolution X Red
civilcar18_red			2008 Mitsubishi Lancer Evolution X Black
civilcar23_green		2007 Chevrolet Impala White
civilcar23_red			2007 Chevrolet Impala Grey
civilcar23_yellow		2007 Chevrolet Impala Burgundy
civilcar26_blue 		2006 Cadillac DTS Sedan Black
civilcar26_green		2006 Cadillac DTS Sedan Silver
civilcar26_red			2006 Cadillac DTS Sedan White
civilcar28_blue			1998 Jeep Grand Cherokee Green
civilcar28_green		1998 Jeep Grand Cherokee Grey
civilcar28_violet		1998 Jeep Grand Cherokee Red
